 Rank,Name,Number,Gender,Year
37,MASON,180,Male,2022
37,BENJAMIN,180,Male,2022
37,BILLIE,163,Female,2022
38,REMI,161,Female,2022
39,MUHAMMAD,175,Male,2022
39,AYLA,160,Female,2022
40,THEO,173,Male,2022
40,LAYLA,159,Female,2022
40,EMILIA,159,Female,2022
40,DAISY,159,Female,2022
41,ARCHER,172,Male,2022
42,GABRIEL,165,Male,2022
43,LEON,163,Male,2022
43,LUCY,156,Female,2022
44,BEAU,159,Male,2022
44,MILLIE,155,Female,2022
45,JORDAN,155,Male,2022
45,PENELOPE,154,Female,2022
45,POPPY,154,Female,2022
45,ELEANOR,154,Female,2022
46,FINN,154,Male,2022
47,SONNY,152,Male,2022
47,DANIEL,152,Male,2022
47,ADAM,152,Male,2022
48,MAYA,153,Female,2022
49,MAEVE,152,Female,2022
50,RYAN,151,Male,2022
50,ABIGAIL,151,Female,2022
51,JOSEPH,149,Male,2022
51,ISABELLE,145,Female,2022
52,SAMUEL,146,Male,2022
52,LOUIS,146,Male,2022
52,AUSTIN,146,Male,2022
52,ELSIE,142,Female,2022
53,ALICE,140,Female,2022
54,FREYA,135,Female,2022
55,ROMAN,145,Male,2022
55,JACKSON,145,Male,2022
55,JAYDEN,145,Male,2022
55,OLIVE,130,Female,2022
55,FRANKIE,130,Female,2022
57,BONNIE,128,Female,2022
58,RILEY,143,Male,2022
58,HANNAH,127,Female,2022
59,ELI,139,Male,2022
59,LOLA,126,Female,2022
59,EVA,126,Female,2022
60,LOGAN,133,Male,2022
61,JASPER,131,Male,2022
61,ELOISE,122,Female,2022
62,MICHAEL,126,Male,2022
62,EDWARD,126,Male,2022
62,EMMA,119,Female,2022
63,SADIE,110,Female,2022
63,MACKENZIE,110,Female,2022
64,LUKA,124,Male,2022
64,LINCOLN,124,Male,2022
65,HARRIET,109,Female,2022
66,ZACHARY,121,Male,2022
66,LEONARDO,121,Male,2022
66,JUDE,121,Male,2022
66,STELLA,107,Female,2022
67,HALLIE,106,Female,2022
68,ELENA,104,Female,2022
69,JOSHUA,120,Male,2022
69,BILLY,120,Male,2022
69,BELLA,103,Female,2022
70,SAVANNAH,99,Female,2022
71,FELIX,119,Male,2022
71,ALI,119,Male,2022
71,ADDISON,96,Female,2022
72,PHOEBE,95,Female,2022
73,ANGUS,117,Male,2022
73,PIPER,93,Female,2022
74,CHARLES,115,Male,2022
74,ASHER,115,Male,2022
74,AIDEN,115,Male,2022
74,SUMMER,92,Female,2022
74,ROSE,92,Female,2022
74,IMOGEN,92,Female,2022
77,PATRICK,114,Male,2022
77,RILEY,89,Female,2022
78,REMY,112,Male,2022
78,GABRIELLA,87,Female,2022
78,ELIANA,87,Female,2022
79,CARTER,111,Male,2022
80,CHRISTIAN,108,Male,2022
80,ELIZABETH,86,Female,2022
80,AALIYAH,86,Female,2022
81,RIVER,106,Male,2022
81,EZRA,106,Male,2022
82,NORA,83,Female,2022
82,HARLOW,83,Female,2022
83,HAMISH,104,Male,2022
84,NICHOLAS,103,Male,2022
84,ELIAS,103,Male,2022
84,ROSIE,82,Female,2022
85,ARIANA,81,Female,2022
86,BODHI,102,Male,2022
86,PIPPA,80,Female,2022
86,CLAIRE,80,Female,2022
87,REUBEN,101,Male,2022
87,CONNOR,101,Male,2022
88,EDEN,79,Female,2022
89,FLYNN,99,Male,2022
89,ALFIE,99,Male,2022
89,ADELINE,78,Female,2022
90,THEA,77,Female,2022
90,DELILAH,77,Female,2022
91,VINCENT,98,Male,2022
91,DYLAN,98,Male,2022
92,VALENTINA,76,Female,2022
92,LARA,76,Female,2022
92,ANASTASIA,76,Female,2022
93,JULIAN,97,Male,2022
93,ASHTON,97,Male,2022
95,ZAYN,96,Male,2022
95,LENNOX,96,Male,2022
95,CHARLIE,75,Female,2022
96,LEAH,73,Female,2022
97,MATTHEW,95,Male,2022
97,KOA,95,Male,2022
97,ARI,95,Male,2022
97,JASMINE,72,Female,2022
97,ELODIE,72,Female,2022
99,MARYAM,70,Female,2022
100,LUKE,94,Male,2022
100,QUINN,69,Female,2022
1,OLIVER,695,Male,2021
1,OLIVIA,493,Female,2021
2,NOAH,633,Male,2021
2,AMELIA,489,Female,2021
3,JACK,459,Male,2021
3,CHARLOTTE,486,Female,2021
4,WILLIAM,458,Male,2021
4,ISLA,439,Female,2021
5,HENRY,444,Male,2021
5,AVA,414,Female,2021
6,LEO,424,Male,2021
6,MIA,375,Female,2021
7,LUCAS,410,Male,2021
7,GRACE,367,Female,2021
8,THEODORE,378,Male,2021
8,CHLOE,335,Female,2021
9,LEVI,339,Male,2021
9,MATILDA,326,Female,2021
10,LIAM,336,Male,2021
10,ELLA,322,Female,2021
11,ELIJAH,331,Male,2021
11,SIENNA,305,Female,2021
12,THOMAS,330,Male,2021
12,SOPHIA,299,Female,2021
13,CHARLIE,327,Male,2021
13,ISABELLA,290,Female,2021
14,ARCHIE,327,Male,2021
14,WILLOW,275,Female,2021
15,HUDSON,324,Male,2021
15,LILY,266,Female,2021
16,LUCA,317,Male,2021
16,ZOE,264,Female,2021
17,ALEXANDER,314,Male,2021
17,EVIE,258,Female,2021
18,JAMES,310,Male,2021
18,HARPER,256,Female,2021
19,ETHAN,285,Male,2021
19,AUDREY,251,Female,2021
20,LACHLAN,274,Male,2021
20,SOPHIE,246,Female,2021
21,OSCAR,272,Male,2021
21,EVELYN,245,Female,2021
22,HARRISON,270,Male,2021
22,MILA,242,Female,2021
23,ISAAC,268,Male,2021
23,SOFIA,231,Female,2021
24,COOPER,259,Male,2021
24,IVY,231,Female,2021
25,MAX,253,Male,2021
25,RUBY,221,Female,2021
26,GEORGE,245,Male,2021
26,ARIA,219,Female,2021
27,ARTHUR,241,Male,2021
27,HAZEL,210,Female,2021
28,SEBASTIAN,240,Male,2021
28,MAYA,197,Female,2021
29,KAI,238,Male,2021
29,ZARA,193,Female,2021
30,HUNTER,236,Male,2021
30,LUCY,192,Female,2021
31,HARVEY,234,Male,2021
31,FLORENCE,188,Female,2021
32,BENJAMIN,234,Male,2021
32,GEORGIA,188,Female,2021
33,HARRY,232,Male,2021
33,LUNA,184,Female,2021
34,ARLO,231,Male,2021
34,VIOLET,183,Female,2021
35,HUGO,230,Male,2021
35,EMILY,182,Female,2021
36,MASON,224,Male,2021
36,DAISY,182,Female,2021
37,JACOB,224,Male,2021
37,AURORA,182,Female,2021
38,ARCHER,214,Male,2021
38,LAYLA,181,Female,2021
39,SAMUEL,210,Male,2021
39,HANNAH,179,Female,2021
40,BEAU,199,Male,2021
40,SCARLETT,178,Female,2021
41,XAVIER,195,Male,2021
41,FRANKIE,176,Female,2021
42,JOSHUA,192,Male,2021
42,ELLIE,167,Female,2021
43,FINN,190,Male,2021
43,PENELOPE,165,Female,2021
44,JOSEPH,188,Male,2021
44,ISABELLE,165,Female,2021
45,RYAN,182,Male,2021
45,EMILIA,163,Female,2021
46,EDWARD,173,Male,2021
46,AYLA,163,Female,2021
47,MUHAMMAD,172,Male,2021
47,POPPY,160,Female,2021
48,LOUIS,169,Male,2021
48,ELEANOR,155,Female,2021
49,AUSTIN,167,Male,2021
49,ABIGAIL,151,Female,2021
50,LOGAN,165,Male,2021
50,EMMA,147,Female,2021
51,DANIEL,164,Male,2021
51,EVA,142,Female,2021
52,ADAM,163,Male,2021
52,ELSIE,141,Female,2021
53,MICHAEL,162,Male,2021
53,BILLIE,136,Female,2021
54,SONNY,161,Male,2021
54,MACKENZIE,134,Female,2021
55,JACKSON,160,Male,2021
55,FREYA,134,Female,2021
56,JASPER,157,Male,2021
56,LOLA,133,Female,2021
57,GABRIEL,157,Male,2021
57,BONNIE,130,Female,2021
58,JORDAN,153,Male,2021
58,ALICE,128,Female,2021
59,PATRICK,152,Male,2021
59,STELLA,126,Female,2021
60,LEON,151,Male,2021
60,REMI,126,Female,2021
61,RILEY,149,Male,2021
61,OLIVE,124,Female,2021
62,AIDEN,148,Male,2021
62,MILLIE,123,Female,2021
63,CARTER,147,Male,2021
63,ELOISE,123,Female,2021
64,ELI,146,Male,2021
64,HARRIET,119,Female,2021
65,JAYDEN,144,Male,2021
65,ELENA,119,Female,2021
66,LUKA,142,Male,2021
66,PIPER,113,Female,2021
67,ALI,142,Male,2021
67,LARA,104,Female,2021
68,LINCOLN,141,Male,2021
68,ELIANA,104,Female,2021
69,THEO,134,Male,2021
69,ADDISON,103,Female,2021
70,RIVER,133,Male,2021
70,SAVANNAH,102,Female,2021
71,FLYNN,129,Male,2021
71,BELLA,100,Female,2021
72,FELIX,128,Male,2021
72,PHOEBE,99,Female,2021
73,CHRISTIAN,126,Male,2021
73,ARIANA,99,Female,2021
74,LEONARDO,125,Male,2021
74,SUMMER,98,Female,2021
75,BILLY,124,Male,2021
75,AALIYAH,97,Female,2021
76,ZACHARY,122,Male,2021
76,SADIE,96,Female,2021
77,ASHER,122,Male,2021
77,ROSE,94,Female,2021
78,ELIAS,119,Male,2021
78,MAEVE,92,Female,2021
79,LENNOX,118,Male,2021
79,CLAIRE,89,Female,2021
80,BODHI,118,Male,2021
80,IMOGEN,88,Female,2021
81,NICHOLAS,117,Male,2021
81,ZOEY,87,Female,2021
82,ANGUS,115,Male,2021
82,LEAH,87,Female,2021
83,JUDE,110,Male,2021
83,JASMINE,87,Female,2021
84,ROMAN,108,Male,2021
84,ELIZABETH,87,Female,2021
85,VINCENT,106,Male,2021
85,ANNA,87,Female,2021
86,MATTHEW,106,Male,2021
86,EDEN,86,Female,2021
87,EZRA,105,Male,2021
87,RILEY,84,Female,2021
88,ARI,105,Male,2021
88,PIPPA,84,Female,2021
89,CHARLES,104,Male,2021
89,NORA,83,Female,2021
90,LUKE,103,Male,2021
90,VALENTINA,82,Female,2021
91,SPENCER,102,Male,2021
91,GABRIELLA,82,Female,2021
92,ASHTON,102,Male,2021
92,CHARLIE,82,Female,2021
93,ZAYN,100,Male,2021
93,QUINN,81,Female,2021
94,KOA,100,Male,2021
94,HALLIE,80,Female,2021
95,OWEN,99,Male,2021
95,DELILAH,80,Female,2021
96,JAXON,99,Male,2021
96,SARAH,79,Female,2021
97,MAXWELL,98,Male,2021
97,LYLA,79,Female,2021
98,ISAIAH,97,Male,2021
98,ELIZA,79,Female,2021
99,ANTHONY,97,Male,2021
99,ADELINE,79,Female,2021
100,TYLER,96,Male,2021
100,MOLLY,78,Female,2021
1,OLIVER,637,Male,2020
1,AMELIA,514,Female,2020
2,NOAH,593,Male,2020
2,OLIVIA,476,Female,2020
3,WILLIAM,478,Male,2020
3,CHARLOTTE,460,Female,2020
4,LEO,420,Male,2020
4,MIA,420,Female,2020
5,LUCAS,409,Male,2020
5,ISLA,420,Female,2020
6,LIAM,383,Male,2020
6,AVA,391,Female,2020
7,JACK,376,Male,2020
7,CHLOE,375,Female,2020
8,HENRY,374,Male,2020
8,GRACE,323,Female,2020
9,ELIJAH,371,Male,2020
9,SOPHIA,302,Female,2020
10,THOMAS,351,Male,2020
10,ZOE,301,Female,2020
11,JAMES,344,Male,2020
11,HARPER,293,Female,2020
11,ALEXANDER,344,Male,2020
11,IVY,291,Female,2020
13,CHARLIE,335,Male,2020
13,ISABELLA,289,Female,2020
14,LEVI,317,Male,2020
14,ELLA,289,Female,2020
15,THEODORE,313,Male,2020
15,SOPHIE,276,Female,2020
16,HUDSON,307,Male,2020
16,SIENNA,273,Female,2020
17,JACOB,293,Male,2020
17,MATILDA,270,Female,2020
18,ARCHIE,290,Male,2020
18,WILLOW,266,Female,2020
19,ETHAN,287,Male,2020
19,LILY,247,Female,2020
20,HARRISON,286,Male,2020
20,EVELYN,245,Female,2020
21,MASON,270,Male,2020
21,MILA,244,Female,2020
22,HUNTER,264,Male,2020
22,RUBY,242,Female,2020
23,ISAAC,259,Male,2020
23,EVIE,240,Female,2020
24,OSCAR,245,Male,2020
24,LAYLA,220,Female,2020
25,COOPER,243,Male,2020
25,AUDREY,210,Female,2020
26,LACHLAN,239,Male,2020
26,EMILY,209,Female,2020
27,LUCA,238,Male,2020
27,LUCY,206,Female,2020
28,GEORGE,231,Male,2020
28,ARIA,205,Female,2020
29,BENJAMIN,227,Male,2020
29,HANNAH,201,Female,2020
30,HARRY,223,Male,2020
30,HAZEL,200,Female,2020
31,HARVEY,222,Male,2020
31,GEORGIA,195,Female,2020
32,SAMUEL,221,Male,2020
32,ZARA,192,Female,2020
33,HUGO,212,Male,2020
33,SOFIA,190,Female,2020
34,MAX,211,Male,2020
34,SCARLETT,179,Female,2020
35,ARCHER,209,Male,2020
35,ELLIE,171,Female,2020
36,SEBASTIAN,205,Male,2020
36,EMMA,170,Female,2020
37,ARLO,194,Male,2020
37,FRANKIE,166,Female,2020
38,LOGAN,193,Male,2020
38,ABIGAIL,164,Female,2020
39,MUHAMMAD,190,Male,2020
39,ISABELLE,164,Female,2020
39,FINN,190,Male,2020
39,FLORENCE,157,Female,2020
41,XAVIER,183,Male,2020
41,EVA,151,Female,2020
42,RYAN,182,Male,2020
42,VIOLET,151,Female,2020
42,EDWARD,182,Male,2020
42,EMILIA,150,Female,2020
44,ARTHUR,181,Male,2020
44,ELSIE,141,Female,2020
45,JAYDEN,180,Male,2020
45,ELEANOR,140,Female,2020
46,JACKSON,176,Male,2020
46,AURORA,139,Female,2020
47,JOSHUA,175,Male,2020
47,PENELOPE,137,Female,2020
47,DANIEL,175,Male,2020
47,JASMINE,136,Female,2020
49,JOSEPH,173,Male,2020
49,POPPY,135,Female,2020
50,ADAM,171,Male,2020
50,ALICE,133,Female,2020
50,KAI,171,Male,2020
50,FREYA,132,Female,2020
50,JORDAN,171,Male,2020
50,MAYA,131,Female,2020
53,RILEY,165,Male,2020
53,BONNIE,131,Female,2020
54,ELI,164,Male,2020
54,STELLA,127,Female,2020
55,LOUIS,163,Male,2020
55,LUNA,124,Female,2020
56,AIDEN,161,Male,2020
56,AYLA,123,Female,2020
57,JASPER,158,Male,2020
57,BILLIE,121,Female,2020
58,AUSTIN,154,Male,2020
58,ELIZABETH,119,Female,2020
59,GABRIEL,150,Male,2020
59,MACKENZIE,118,Female,2020
60,BEAU,149,Male,2020
60,LOLA,114,Female,2020
61,MICHAEL,147,Male,2020
61,ELOISE,113,Female,2020
62,LINCOLN,143,Male,2020
62,HARRIET,112,Female,2020
63,FLYNN,142,Male,2020
63,SAVANNAH,112,Female,2020
63,ALI,142,Male,2020
63,AALIYAH,111,Female,2020
65,CARTER,141,Male,2020
65,ROSE,111,Female,2020
66,CONNOR,130,Male,2020
66,PIPER,110,Female,2020
67,CHARLES,128,Male,2020
67,DAISY,108,Female,2020
67,SONNY,128,Male,2020
67,LARA,106,Female,2020
67,SPENCER,128,Male,2020
67,MILLIE,106,Female,2020
70,JAXON,124,Male,2020
70,HALLIE,105,Female,2020
70,ZACHARY,124,Male,2020
70,ELENA,103,Female,2020
72,ASHTON,120,Male,2020
72,ARIANA,101,Female,2020
73,JUDE,117,Male,2020
73,SARAH,101,Female,2020
74,PATRICK,116,Male,2020
74,SADIE,101,Female,2020
74,LUKE,116,Male,2020
74,ANNA,100,Female,2020
74,MATTHEW,116,Male,2020
74,REMI,99,Female,2020
74,OWEN,116,Male,2020
74,PHOEBE,97,Female,2020
78,ISAIAH,113,Male,2020
78,OLIVE,96,Female,2020
79,NICHOLAS,111,Male,2020
79,IMOGEN,95,Female,2020
79,LUKA,111,Male,2020
79,ELIANA,94,Female,2020
81,LEONARDO,110,Male,2020
81,HARLOW,90,Female,2020
82,CHRISTIAN,109,Male,2020
82,ANNABELLE,89,Female,2020
83,ANGUS,107,Male,2020
83,MOLLY,89,Female,2020
83,MARCUS,107,Male,2020
83,BELLA,88,Female,2020
85,BODHI,106,Male,2020
85,ADDISON,86,Female,2020
86,THEO,104,Male,2020
86,SUMMER,84,Female,2020
87,LEON,103,Male,2020
87,CLARA,82,Female,2020
87,ASHER,103,Male,2020
87,CLAIRE,81,Female,2020
87,JAKE,103,Male,2020
87,ELIZA,81,Female,2020
87,AXEL,103,Male,2020
87,MADDISON,80,Female,2020
91,CALEB,102,Male,2020
91,GABRIELLA,80,Female,2020
91,RYDER,102,Male,2020
91,ZOEY,79,Female,2020
93,DYLAN,100,Male,2020
93,DELILAH,79,Female,2020
94,DOMINIC,99,Male,2020
94,ISABEL,77,Female,2020
94,ARI,99,Male,2020
94,CHARLIE,76,Female,2020
96,ELIAS,98,Male,2020
96,EDEN,76,Female,2020
97,FELIX,96,Male,2020
97,ADELINE,76,Female,2020
97,VINCENT,96,Male,2020
97,MAEVE,76,Female,2020
97,LENNOX,96,Male,2020
97,CHELSEA,74,Female,2020
97,ANTHONY,96,Male,2020
97,MARYAM,74,Female,2020
1,OLIVER,641,Male,2019
1,CHARLOTTE,504,Female,2019
2,NOAH,573,Male,2019
2,OLIVIA,483,Female,2019
3,WILLIAM,531,Male,2019
3,AMELIA,467,Female,2019
4,JACK,468,Male,2019
4,MIA,465,Female,2019
5,LEO,444,Male,2019
5,ISLA,408,Female,2019
6,LUCAS,418,Male,2019
6,AVA,392,Female,2019
7,HENRY,376,Male,2019
7,CHLOE,353,Female,2019
8,THOMAS,370,Male,2019
8,GRACE,323,Female,2019
9,JAMES,363,Male,2019
9,SOPHIA,319,Female,2019
10,LIAM,357,Male,2019
10,ELLA,310,Female,2019
11,ETHAN,355,Male,2019
11,ISABELLA,302,Female,2019
12,ALEXANDER,339,Male,2019
12,ZOE,299,Female,2019
13,ELIJAH,333,Male,2019
13,WILLOW,295,Female,2019
14,CHARLIE,327,Male,2019
14,HARPER,295,Female,2019
15,HARRISON,296,Male,2019
15,SOPHIE,270,Female,2019
16,HUDSON,296,Male,2019
16,MATILDA,270,Female,2019
17,THEODORE,292,Male,2019
17,EVELYN,263,Female,2019
18,ISAAC,289,Male,2019
18,RUBY,259,Female,2019
19,HUNTER,275,Male,2019
19,IVY,258,Female,2019
20,HARRY,271,Male,2019
20,EVIE,248,Female,2019
21,LEVI,269,Male,2019
21,LILY,243,Female,2019
22,ARCHIE,265,Male,2019
22,SIENNA,241,Female,2019
23,JACOB,261,Male,2019
23,EMILY,238,Female,2019
24,OSCAR,260,Male,2019
24,ARIA,237,Female,2019
25,SAMUEL,258,Male,2019
25,MILA,232,Female,2019
26,MAX,253,Male,2019
26,AUDREY,218,Female,2019
27,COOPER,249,Male,2019
27,ABIGAIL,209,Female,2019
28,MASON,239,Male,2019
28,GEORGIA,208,Female,2019
29,LUCA,232,Male,2019
29,LUCY,204,Female,2019
30,HARVEY,230,Male,2019
30,ZARA,198,Female,2019
31,GEORGE,226,Male,2019
31,SCARLETT,188,Female,2019
32,LACHLAN,223,Male,2019
32,EVA,186,Female,2019
33,SEBASTIAN,223,Male,2019
33,HANNAH,183,Female,2019
34,JOSHUA,217,Male,2019
34,ELLIE,181,Female,2019
35,BENJAMIN,216,Male,2019
35,SOFIA,179,Female,2019
36,RYAN,214,Male,2019
36,LAYLA,172,Female,2019
37,XAVIER,208,Male,2019
37,FRANKIE,169,Female,2019
38,DANIEL,199,Male,2019
38,HAZEL,166,Female,2019
39,HUGO,196,Male,2019
39,ALICE,156,Female,2019
40,ADAM,189,Male,2019
40,EMMA,155,Female,2019
41,JAYDEN,189,Male,2019
41,ISABELLE,154,Female,2019
42,LOGAN,189,Male,2019
42,LUNA,149,Female,2019
43,LOUIS,187,Male,2019
43,EMILIA,149,Female,2019
44,ARLO,186,Male,2019
44,ELSIE,142,Female,2019
45,MUHAMMAD,184,Male,2019
45,VIOLET,139,Female,2019
46,FINN,180,Male,2019
46,ELEANOR,138,Female,2019
47,JACKSON,179,Male,2019
47,ELIZABETH,136,Female,2019
48,ARCHER,176,Male,2019
48,PENELOPE,131,Female,2019
49,EDWARD,172,Male,2019
49,FREYA,131,Female,2019
50,JASPER,170,Male,2019
50,FLORENCE,129,Female,2019
51,ARTHUR,166,Male,2019
51,MAYA,126,Female,2019
52,AUSTIN,165,Male,2019
52,AURORA,125,Female,2019
53,MICHAEL,165,Male,2019
53,STELLA,121,Female,2019
54,KAI,164,Male,2019
54,MACKENZIE,120,Female,2019
55,JOSEPH,158,Male,2019
55,POPPY,116,Female,2019
56,RILEY,156,Male,2019
56,ELENA,112,Female,2019
57,ASHTON,155,Male,2019
57,JASMINE,111,Female,2019
58,CONNOR,154,Male,2019
58,PHOEBE,110,Female,2019
59,ELI,154,Male,2019
59,BILLIE,110,Female,2019
60,AIDEN,151,Male,2019
60,ARIANA,109,Female,2019
61,JAXON,147,Male,2019
61,ANNABELLE,109,Female,2019
62,CARTER,145,Male,2019
62,DAISY,106,Female,2019
63,LINCOLN,145,Male,2019
63,CLAIRE,105,Female,2019
64,GABRIEL,142,Male,2019
64,AYLA,105,Female,2019
65,JORDAN,136,Male,2019
65,SARAH,103,Female,2019
66,NICHOLAS,133,Male,2019
66,PIPER,103,Female,2019
67,ZACHARY,133,Male,2019
67,HARRIET,103,Female,2019
68,FLYNN,131,Male,2019
68,LARA,102,Female,2019
69,MATTHEW,131,Male,2019
69,BELLA,101,Female,2019
70,LEON,130,Male,2019
70,ANNA,99,Female,2019
71,CHRISTIAN,128,Male,2019
71,SAVANNAH,95,Female,2019
72,PATRICK,127,Male,2019
72,SUMMER,94,Female,2019
73,ANGUS,124,Male,2019
73,ROSE,94,Female,2019
74,BEAU,123,Male,2019
74,IMOGEN,94,Female,2019
75,OWEN,122,Male,2019
75,ALYSSA,93,Female,2019
76,ALI,119,Male,2019
76,OLIVE,91,Female,2019
77,ASHER,114,Male,2019
77,CHARLIE,91,Female,2019
78,BODHI,111,Male,2019
78,SADIE,90,Female,2019
79,LUKE,111,Male,2019
79,BONNIE,90,Female,2019
80,DYLAN,110,Male,2019
80,AALIYAH,90,Female,2019
81,FELIX,110,Male,2019
81,ELOISE,87,Female,2019
82,CHARLES,108,Male,2019
82,RILEY,86,Female,2019
83,JUDE,108,Male,2019
83,LEAH,86,Female,2019
84,MARCUS,108,Male,2019
84,VICTORIA,85,Female,2019
85,LUKA,105,Male,2019
85,VALENTINA,84,Female,2019
86,AARON,103,Male,2019
86,MADDISON,84,Female,2019
87,ELIAS,103,Male,2019
87,LOLA,84,Female,2019
88,TYLER,102,Male,2019
88,INDIANA,83,Female,2019
89,SONNY,101,Male,2019
89,EDEN,81,Female,2019
90,DOMINIC,100,Male,2019
90,ISABEL,80,Female,2019
91,LEONARDO,99,Male,2019
91,ROSIE,79,Female,2019
92,REUBEN,97,Male,2019
92,MILLIE,76,Female,2019
93,TOBY,97,Male,2019
93,CLARA,76,Female,2019
94,EZRA,96,Male,2019
94,ALEXIS,76,Female,2019
95,HAMISH,96,Male,2019
95,QUINN,74,Female,2019
96,NATHANIEL,96,Male,2019
96,GABRIELLA,74,Female,2019
97,JOHN,95,Male,2019
97,PEYTON,72,Female,2019
98,SPENCER,95,Male,2019
98,MADELINE,72,Female,2019
99,ISAIAH,94,Male,2019
99,HEIDI,72,Female,2019
100,THEO,94,Male,2019
100,CHELSEA,72,Female,2019
1,Oliver,616,Male,2018
1,Charlotte,530,Female,2018
2,William,567,Male,2018
2,Amelia,488,Female,2018
3,Noah,539,Male,2018
3,Olivia,474,Female,2018
4,Jack,517,Male,2018
4,Mia,471,Female,2018
5,Henry,405,Male,2018
5,Ava,430,Female,2018
6,Thomas,404,Male,2018
6,Isla,372,Female,2018
7,Lucas,394,Male,2018
7,Grace,361,Female,2018
8,Liam,383,Male,2018
8,Chloe,358,Female,2018
9,Leo,375,Male,2018
9,Harper,325,Female,2018
10,Alexander,370,Male,2018
10,Emily,317,Female,2018
11,James,368,Male,2018
11,Sophia,308,Female,2018
12,Ethan,345,Male,2018
12,Isabella,300,Female,2018
13,Elijah,323,Male,2018
13,Willow,299,Female,2018
14,Mason,306,Male,2018
14,Zoe,297,Female,2018
15,Harry,305,Male,2018
15,Ivy,295,Female,2018
16,Hunter,296,Male,2018
16,Ruby,276,Female,2018
17,Isaac,290,Male,2018
17,Ella,270,Female,2018
18,Jacob,288,Male,2018
18,Evelyn,263,Female,2018
19,Harrison,287,Male,2018
19,Evie,262,Female,2018
20,Levi,279,Male,2018
20,Sophie,261,Female,2018
21,Oscar,278,Male,2018
21,Matilda,251,Female,2018
22,Charlie,277,Male,2018
22,Aria,246,Female,2018
23,Theodore,271,Male,2018
23,Lily,237,Female,2018
24,Lachlan,260,Male,2018
24,Georgia,236,Female,2018
25,Hudson,255,Male,2018
25,Lucy,230,Female,2018
26,Archie,248,Male,2018
26,Sienna,228,Female,2018
27,Max,247,Male,2018
27,Mila,226,Female,2018
28,Benjamin,246,Male,2018
28,Audrey,217,Female,2018
29,Cooper,242,Male,2018
29,Hannah,212,Female,2018
30,Samuel,241,Male,2018
30,Scarlett,203,Female,2018
31,Ryan,235,Male,2018
31,Emma,202,Female,2018
32,Archer,234,Male,2018
32,Zara,201,Female,2018
33,George,234,Male,2018
33,Abigail,187,Female,2018
34,Joshua,234,Male,2018
34,Layla,185,Female,2018
35,Xavier,223,Male,2018
35,Eva,180,Female,2018
36,Logan,222,Male,2018
36,Isabelle,175,Female,2018
37,Sebastian,219,Male,2018
37,Alice,161,Female,2018
38,Hugo,217,Male,2018
38,Emilia,159,Female,2018
39,Daniel,215,Male,2018
39,Violet,155,Female,2018
40,Finn,201,Male,2018
40,Hazel,154,Female,2018
41,Luca,201,Male,2018
41,Sofia,154,Female,2018
42,Harvey,200,Male,2018
42,Stella,146,Female,2018
43,Jackson,195,Male,2018
43,Ellie,143,Female,2018
44,Muhammad,192,Male,2018
44,Frankie,141,Female,2018
45,Jaxon,184,Male,2018
